disbelief,불신,Regina could only stare at her transformed self in disbelief,Regina는 자신의 변한 모습을 믿을 수 없다는 듯 그저 바라볼 수 있을 뿐이었다.,Regina could only stare at her transformed self in _,,disbelief
proportion,비쉼표 비율,A considerable proportion of old people suffer poverty even in the major developed countries.,주요 선진국에서조차 상당한 비율의 노인들이 빈곤을 겪고 있다.,A considerable _ of old people suffer poverty even in the major developed countries.,,proportion
survive,살아남다,We human beings need to find ways to survive,우리 인간은 살아남을 방법을 찾아야 한다,We human beings need to find ways to _,,survive
condition,상태쉼표 조절하다,Conditions in the refugee camps were terrible,난민 캠프의 상황은 끔찍했다.,_ in the refugee camps were terrible,,Condition
biodiversity,생물 다양성,Numerous biodiversity experiments have been conducted since Elton따옴표s time,수 많은 생물 다양성 실험이 Elton의 시대 이후로 수행되어 왔다.,Numerous _ experiments have been conducted since Elton따옴표s time,,biodiversity
net profit,순이익,When deciding whether to invest in a company쉼표 we may take into account its net profits,어떤 회사에 투자할지 여부를 결정할 때쉼표 우리는 그 회사의 순익을 고려할지도 모른다.,When deciding whether to invest in a company쉼표 we may take into account its _,,net profits
neural,신경계의,3-D art uses neural circuits in novel ways,3-D 아트는 신경회로를 새로운 방식으로 사용한다,3-D art uses _ circuits in novel ways,,neural
physical,신체의,Physical activity will be much more helpful than taking medicine,신체 활동이 약물 복용보다 훨씬 더 도움이 될 것이다.,_ activity will be much more helpful than taking medicine,,physical
acute,심각한,Through evolution쉼표 our brains have developed to deal with acute dangers,전화를 통해 우리의 뇌는 심각한 위험에 대처하도록 발달해왔다.,Through evolution쉼표 our brains have developed to deal with _ dangers,,acute
enthusiastic,열렬한쉼표 열심인,The champion was given an enthusiastic welcome when he arrived home.,그 챔피언은 귀국했을 때 열렬한 환영을 받았다,The champion was given an _ welcome when he arrived home.,,entusiastic
component,요소쉼표 성분,Magma exchanges chemical components with the surrounding rock쉼표 modifying both the compositon of the magma and the surrounding rock.,마그마는 주변 암석과 화학적 성분을 교환하며쉼표 마그마와 주변 암석의 구성을 변경한다.,Magma exchanges chemical _ with the surrounding rock쉼표 modifying both the compositon of the magma and the surrounding rock.,,components
priority,우선사항,Your intrests should be the priority in your job search,구직에 있어서 여러분의 관심사가 우선 사항이어야 한다.,Your intrests should be the _ in your job search,,priority
heritage,유산,The heritage of the past is the seed that brings forth the harvest of the future,과거의 유산은 미래의 결실을 가져오는 씨앗이다.,The _ of the past is the seed that brings forth the harvest of the future,,heritage
gene,유전자,The notion that food has a specific influence on gene expression is relatively new,음식이 유전자 발현에 특정한 영향을 미친다는 생각은 비교적 새로운 것이다,The notion that food has a specific influence on _ expression is relatively new,,gene
metaphor,은유쉼표비유,We use metaphor almost every time we write or speak,우리는 글을 쓰거나 말을 하는 거의 모든 순간 은유를 사용한다.,We use _ almost every time we write or speak,,metaphor
healthcare,의료쉼표건강관리,Healthcare reform was the center piece of the last presidential campaign,의료 개혁은 지난 대통령 선거 운동의 중요 항목이였다,_ reform was the center piece of the last presidential campaign,,Healthcare
costume,의상쉼표 복장,The extended costume of animals is the result of their genes,동물들이 확장된 의상은 그들의 유전자의 결과물이다.,The extended _ of animals is the result of their genes,,costume
cognitive,인지의,The confirmation bias is a type of cognitive bias.,확증 편향은 일종의 인지 편향이다.,The confirmation bias is a type of _ bias.,,cognitive
consistent,일관된,With consistent effort쉼표 you can improve your grade,일관된 노력으로쉼표 여러분은 성적을 향상할 수 있다.,With _ effort쉼표 you can improve your grade,,consistent
self-esteem,자존감,Check your self-esteem first when you feel guilty,죄책감을 느낄 때 여러분의 자존감을 먼저 점검하라,Check your _ first when you feel guilty,,self-esteem
empire,제국,Gengis Khan united the numerous small tribes of Northeast Asia under the Mongol Empire.,칭기즈 칸은 동북아시아의 수많은 작은 부족들을 몽골 제국 아래로 통합시켰다.,Gengis Khan united the numerous small tribes of Northeast Asia under the Mongol _.,,Empire
attentive,주의를 기울이는,Simply follow these ways and keep yourself attentive and sharp all day,단순히 이런 방식을 그저 따라서 여러분 스스로 하루종일 주의를 기울이고 예리함을 유지하도록 하세요,Simply follow these ways and keep yourself _ and sharp all day,,attentive
promote,촉진하다,Our aim is to promote a wider and closer economic integration,우리의 목적은 더 광범위하고 더 긴밀한 경제 통합을 촉진하는 것이다,Our aim is to _ a wider and closer economic integration,,promote
hardwired,타고나는,Some distinctions between good and bad are hardwired into our biology,좋음과 나쁨 사이의 몇 가지 구별은 우리의 생명 활동 안에서 타고난다.,Some distinctions between good and bad are _ into our biology,,hardwired
unfold,펼쳐지다,Let our creativity unfold!,우리의 창의력을 펼쳐 봅시다!,Let our creativity _!,,unfold
modern,현대의,Modern weapons have a particularly high destructive force.,현대 무기는 특히 높은 파괴력을 지니고 있다,_ weapons have a particularly high destructive force.,,modern
collaboration,협력쉼표 공동작업,Space exploration is a collaboration between countries to cover its high cost,우주탐사는 그것의 높은 비용을 충당하기 위한 국가들 간의 협력이다,Space exploration is a _ between countries to cover its high cost,,collaboration
