surge,-,-,밀려들다쉼표 (강한 감정이) 휩싸다[휘감다]쉼표 치밀어 오름쉼표 급증쉼표 급등,_,,surge
tantamount to 명사,-,-,(나쁜 효과가) ~와 마찬가지의[~에 상당하는],_,,tantamount to 명사
ulterior,-,-,이면의쉼표 숨은,_,,ulterior
undeniable,-,-,부인할 수 없는쉼표 명백한,_,,undeniable
underestimate,-,-,과소평가하다,_,,underestimate
unfaltering,-,-,(걸음걸이가) 비틀거리지 않는쉼표 떨지 않는쉼표 (말투 등이) 흔들리지 않는쉼표 떨리지 않는쉼표 주저하지 않는쉼표 단호한,_,,unfaltering
unmitigated,-,-,순전한쉼표 완전한(보통 나쁜 것을 묘사할 때),_,,unmitigated
unreliable,-,-,믿을 수 없는쉼표 신뢰할 수 없는,_,,unreliable
utilize,-,-,활용[이용]하다,_,,utilize
valid,-,-,유효한쉼표 타당한,_,,valid
vanish,-,-,사라지다쉼표 없어지다,_,,vanish
veer,-,-,방향을 홱 틀다[바꾸다],_,,veer
vicinity,-,-,부근[인근],_,,vicinity
vile,-,-,극도로 불쾌한[나쁜]쉼표 비도덕적인쉼표 절대 용납할 수 없는,_,,vile
wreck,-,-,난파선쉼표 (삼하게 부서진) 사고 자동차[비행기 등]쉼표 잔해쉼표 망가뜨리다쉼표 파괴하다쉼표 엉망으로 만들다,_,,wreck
